ID,NAME,county,ghost,rep_voters,dem_voters,lib_voters,green_voters,una_voters,other_voters,active_qualified_total,schuh,pittman,write_in,total_votes,perc_schuh,perc_pittman,perc_write_in,winner,perc_winner,area,zipcode,area_mi
500000315,ANNE ARUNDEL PRECINCT 04-026,Anne Arundel County,0,165,438,8,0,199,3,813,63,181,0,244,25.81967213114754,74.18032786885246,0,pittman,74.18032786885246,2480172.588178158,"20755, 21113",0.9575999898542639
NA,ANNE ARUNDEL PRECINCT 04-099,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14812712.828352321,"20708, 20720, 20724, 20755, 21113",5.71922039690142
6995,ANNE ARUNDEL PRECINCT 05-001,Anne Arundel County,0,1022,795,18,4,461,4,2304,712,431,1,1144,62.23776223776224,37.67482517482518,0.08741258741258741,schuh,62.23776223776224,13479572.015832782,"21012, 21409",5.204491851546127
6996,ANNE ARUNDEL PRECINCT 05-002,Anne Arundel County,0,938,982,27,7,537,6,2497,546,522,2,1070,51.02803738317757,48.78504672897196,0.1869158878504673,schuh,51.02803738317757,7338439.635444207,21409,2.8333873835810293
6997,ANNE ARUNDEL PRECINCT 05-003,Anne Arundel County,0,826,665,10,3,448,8,1960,451,409,1,861,52.38095238095239,47.50290360046458,0.11614401858304298,schuh,52.38095238095239,3830343.485106468,"21012, 21146",1.4789038875599496
6998,ANNE ARUNDEL PRECINCT 05-004,Anne Arundel County,0,817,779,17,8,480,8,2109,515,425,0,940,54.78723404255319,45.21276595744681,0,schuh,54.78723404255319,1636689.0648703142,21012,0.6319291808098213
6999,ANNE ARUNDEL PRECINCT 05-005,Anne Arundel County,0,804,772,10,4,422,7,2019,399,347,1,747,53.41365461847389,46.4524765729585,0.13386880856760375,schuh,53.41365461847389,3676514.3442844152,"21012, 21146",1.419510124241771
7000,ANNE ARUNDEL PRECINCT 05-006,Anne Arundel County,0,746,628,7,5,292,4,1682,380,306,1,687,55.31295487627366,44.54148471615721,0.1455604075691412,schuh,55.31295487627366,1831928.4331093766,21146,0.7073115223194554
7001,ANNE ARUNDEL PRECINCT 05-007,Anne Arundel County,0,826,499,15,4,328,6,1678,422,275,0,697,60.54519368723099,39.45480631276901,0,schuh,60.54519368723099,1789155.7133823633,"21108, 21146",0.6907968829061094
7002,ANNE ARUNDEL PRECINCT 05-008,Anne Arundel County,0,851,739,14,8,453,12,2077,427,407,0,834,51.199040767386094,48.80095923261391,0,schuh,51.199040767386094,1513751.8569506444,"21108, 21146",0.5844628594668121
